	<Base_Stems>	Achter	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Achtundsechziger	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Achtung	<NN>	<base>	<nativ>	<NFem/Sg>	
	<Base_Stems>	Acker	<NN>	<base>	<nativ>	<NMasc_s_$>	
	<Base_Stems>	Ackermann	<NN>	<base>	<nativ>	<FamName_s>	
	<Base_Stems>	Acryl	<NN>	<base>	<fremd>	<NNeut/Sg_s>	
	<Base_Stems>	Action	<NN>	<base>	<fremd>	<NFem/Sg>	
	<Base_Stems>	Adagio	<NN>	<base>	<fremd>	<NNeut_s_s>	
	<Base_Stems>	Adam	<NN>	<base>	<nativ>	<Name-Masc_s>	
	<Base_Stems>	Adaption	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Ade	<NN>	<base>	<nativ>	<NNeut_s_s>	
	<Base_Stems>	Adel	<NN>	<base>	<nativ>	<NMasc/Sg_s>	
	<Base_Stems>	Aden	<NN>	<base>	<nativ>	<Name-Neut_s>	
	<Base_Stems>	Ader	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Aderlass	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Aderlaß	<NN>	<base>	<nativ>	<NMasc-s/$sse>	
	<Base_Stems>	Adieu	<NN>	<base>	<nativ>	<NNeut_s_s>	
	<Base_Stems>	Adjektiv	<NN>	<base>	<nativ>	<NNeut_s_e>	
	<Base_Stems>	Adler	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Administration	<NN>	<base>	<fremd>	<NFem_0_en>	
	<Base_Stems>	Administrator	<NN>	<base>	<fremd>	<NMasc_s_en>	
	<Base_Stems>	Admiral	<NN>	<base>	<nativ>	<NMasc_es_$e>	
	<Base_Stems>	Adoption	<NN>	<base>	<fremd>	<NFem_0_en>	
	<Base_Stems>	Adressat	<NN>	<base>	<nativ>	<NMasc_en_en>	
	<Base_Stems>	Adresse	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Adria	<NN>	<base>	<nativ>	<Name-Fem_s>	
	<Base_Stems>	Advent	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Adverb	<NN>	<base>	<klassisch>	<NNeut-0/ien>	
	<Base_Stems>	Advokat	<NN>	<base>	<nativ>	<NMasc_en_en>	
	<Base_Stems>	Aerobic	<NN>	<base>	<fremd>	<NNeut/Sg_s>	
	<Base_Stems>	Affäre	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Affe	<NN>	<base>	<nativ>	<NMasc_n_n>	
	<Base_Stems>	Affekt	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Affinität	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Affront	<NN>	<base>	<fremd>	<NMasc_s_s>	
	<Base_Stems>	Afghane	<NN>	<base>	<nativ>	<NMasc_n_n>	
	<Base_Stems>	Afghanistan	<NN>	<base>	<nativ>	<Name-Neut_s>	
	<Base_Stems>	Afrika	<NN>	<base>	<nativ>	<Name-Neut_s>	
	<Base_Stems>	Afrikaner	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Afro	<NN>	<base>	<nativ>	<NMasc_s_s>	
	<Base_Stems>	After	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Ag	<NN>	<base>	<nativ>	<NFem_0_s>	
	<Base_Stems>	Ägäis	<NN>	<base>	<fremd>	<Name-Fem_0>	
	<Base_Stems>	Agenda	<NN>	<base>	<nativ>	<NFem-a/en>	
	<Base_Stems>	Agent	<NN>	<base>	<nativ>	<NMasc_en_en>	
	<Base_Stems>	Agentur	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Aggregat	<NN>	<base>	<nativ>	<NNeut_es_e>	
	<Base_Stems>	Aggression	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Aggressivität	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Aggressor	<NN>	<base>	<nativ>	<NMasc_es_en>	
	<Base_Stems>	Ägide	<NN>	<base>	<fremd>	<NFem/Sg>	
	<Base_Stems>	Agitation	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Agonie	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Ägypten	<NN>	<base>	<fremd>	<Name-Neut_s>	
	<Base_Stems>	Ägypter	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	ah	<OTHER>	<base>	<nativ>	<Intj>	
	<Base_Stems>	aha	<OTHER>	<base>	<nativ>	<Intj>	
	<Base_Stems>	Ahle	<NN>	<base>	<nativ>	<NFem_0_n>	
	<Base_Stems>	Ahn	<NN>	<base>	<nativ>	<NMasc_en_en>	
	<Base_Stems>	Ahne	<NN>	<base>	<nativ>	<NMasc_n_n>	
	<Base_Stems>	Ahnung	<NN>	<base>	<nativ>	<NFem_0_en>	
	<Base_Stems>	Ahorn	<NN>	<base>	<nativ>	<NMasc_es_e>	
	<Base_Stems>	Ährenfeld	<NN>	<base>	<nativ>	<NNeut_es_er>	
	<Base_Stems>	Aida	<NN>	<base>	<fremd>	<Name-Fem_0>	
	<Base_Stems>	Aids	<NN>	<base>	<fremd>	<NNeut/Sg_0>	
	<Base_Stems>	Air	<NN>	<base>	<fremd>	<NNeut_s_s>	
	<Base_Stems>	Airbag	<NN>	<base>	<fremd>	<NMasc_s_s>	
	<Base_Stems>	Airbus	<NN>	<base>	<fremd>	<NMasc-s/sse>	
	<Base_Stems>	Airline	<NN>	<base>	<fremd>	<NFem_0_s>	
	<Base_Stems>	Ajatollah	<NN>	<base>	<fremd>	<NMasc_s_s>	
	<Base_Stems>	Akademie	<NN>	<base>	<klassisch>	<NFem_0_n>	
	<Base_Stems>	Akademiker	<NN>	<base>	<nativ>	<NMasc_s_0>	
	<Base_Stems>	Aki	<NN>	<base>	<fremd>	<Name-Neut_s>	
